,Threshold,Precision,Recall,AUC
0,0.1142849470427116,0.3918269230769231,1.0,0.3655222589683326
1,0.11962456395729862,0.39036144578313253,0.9938650306748467,0.3655222589683326
2,0.1201689317114435,0.391304347826087,0.9938650306748467,0.3655222589683326
3,0.12711371138986505,0.3898305084745763,0.9877300613496932,0.3655222589683326
4,0.1274152525832118,0.3907766990291262,0.9877300613496932,0.3655222589683326
5,0.13128082035933564,0.39172749391727496,0.9877300613496932,0.3655222589683326
6,0.15786323088418186,0.3902439024390244,0.9815950920245399,0.3655222589683326
7,0.16651957051537625,0.38875305623471884,0.9754601226993865,0.3655222589683326
8,0.1670494945999212,0.3872549019607843,0.9693251533742331,0.3655222589683326
9,0.16723999215936164,0.3882063882063882,0.9693251533742331,0.3655222589683326
10,0.16792858828617688,0.3891625615763547,0.9693251533742331,0.3655222589683326
11,0.17611448554505552,0.39012345679012345,0.9693251533742331,0.3655222589683326
12,0.17867883347465274,0.3910891089108911,0.9693251533742331,0.3655222589683326
13,0.17988593119345211,0.39303482587064675,0.9693251533742331,0.3655222589683326
14,0.1810460128640077,0.3915211970074813,0.9631901840490797,0.3655222589683326
15,0.18406788109785674,0.3925,0.9631901840490797,0.3655222589683326
16,0.1875515920303878,0.39348370927318294,0.9631901840490797,0.3655222589683326
17,0.1899860857345991,0.3944723618090452,0.9631901840490797,0.3655222589683326
18,0.1925941850559123,0.3929471032745592,0.9570552147239264,0.3655222589683326
19,0.19538881781390063,0.39141414141414144,0.950920245398773,0.3655222589683326
20,0.19669497623039714,0.3924050632911392,0.950920245398773,0.3655222589683326
21,0.19750575238279247,0.39086294416243655,0.9447852760736196,0.3655222589683326
22,0.20005254419295465,0.3893129770992366,0.9386503067484663,0.3655222589683326
23,0.2019397011451414,0.3903061224489796,0.9386503067484663,0.3655222589683326
24,0.20405151101020028,0.391304347826087,0.9386503067484663,0.3655222589683326
25,0.20529720489139577,0.38974358974358975,0.9325153374233128,0.3655222589683326
26,0.2056511099639388,0.38817480719794345,0.9263803680981595,0.3655222589683326
27,0.2057755295442966,0.38917525773195877,0.9263803680981595,0.3655222589683326
28,0.20641781651184737,0.3875968992248062,0.9202453987730062,0.3655222589683326
29,0.20656757283921537,0.38860103626943004,0.9202453987730062,0.3655222589683326
30,0.20834644755453982,0.38961038961038963,0.9202453987730062,0.3655222589683326
31,0.2107613632604068,0.390625,0.9202453987730062,0.3655222589683326
32,0.2122123722521782,0.38903394255874674,0.9141104294478528,0.3655222589683326
33,0.21221595204518706,0.3884514435695538,0.9079754601226994,0.3655222589683326
34,0.2131269110267832,0.3868421052631579,0.901840490797546,0.3655222589683326
35,0.21365289920857275,0.38786279683377306,0.901840490797546,0.3655222589683326
36,0.2163997667955554,0.3862433862433862,0.8957055214723927,0.3655222589683326
37,0.21657321966483734,0.38461538461538464,0.8895705521472392,0.3655222589683326
38,0.218167899114051,0.38563829787234044,0.8895705521472392,0.3655222589683326
39,0.2206006383032557,0.384,0.8834355828220859,0.3655222589683326
40,0.22162963815117864,0.3850267379679144,0.8834355828220859,0.3655222589683326
41,0.22180609639326382,0.38337801608579086,0.8773006134969326,0.3655222589683326
42,0.22205410057613248,0.3817204301075269,0.8711656441717791,0.3655222589683326
43,0.2262312507030226,0.38274932614555257,0.8711656441717791,0.3655222589683326
44,0.22734271298661549,0.3810810810810811,0.8650306748466258,0.3655222589683326
45,0.22770167158750895,0.3794037940379404,0.8588957055214724,0.3655222589683326
46,0.22853767232044517,0.3804347826086957,0.8588957055214724,0.3655222589683326
47,0.23228475244980598,0.3787465940054496,0.852760736196319,0.3655222589683326
48,0.23291792523438085,0.3770491803278688,0.8466257668711656,0.3655222589683326
49,0.23341155410156306,0.3780821917808219,0.8466257668711656,0.3655222589683326
50,0.2338884520698978,0.3791208791208791,0.8466257668711656,0.3655222589683326
51,0.23538715909683006,0.3774104683195592,0.8404907975460123,0.3655222589683326
52,0.23846254276795742,0.3784530386740331,0.8404907975460123,0.3655222589683326
53,0.23890002141163305,0.37950138504155123,0.8404907975460123,0.3655222589683326
54,0.2389672609322872,0.37777777777777777,0.8343558282208589,0.3655222589683326
55,0.2396734757070965,0.3770949720670391,0.8282208588957055,0.3655222589683326
56,0.24109104085902994,0.37815126050420167,0.8282208588957055,0.3655222589683326
57,0.24418654523955186,0.3792134831460674,0.8282208588957055,0.3655222589683326
58,0.2446929428338381,0.37746478873239436,0.8220858895705522,0.3655222589683326
59,0.2449584818907089,0.3757062146892655,0.8159509202453987,0.3655222589683326
60,0.2493480177745872,0.37393767705382436,0.8098159509202454,0.3655222589683326
61,0.24989829077926462,0.375,0.8098159509202454,0.3655222589683326
62,0.2499472431054078,0.37606837606837606,0.8098159509202454,0.3655222589683326
63,0.2501186265913824,0.3742857142857143,0.803680981595092,0.3655222589683326
64,0.25012274075726754,0.3746397694524496,0.7975460122699386,0.3655222589683326
65,0.2501431163387746,0.3760932944606414,0.7914110429447853,0.3655222589683326
66,0.2504371179291703,0.3742690058479532,0.7852760736196319,0.3655222589683326
67,0.2504616284452494,0.37168141592920356,0.7730061349693251,0.3655222589683326
68,0.25060460559337566,0.3727810650887574,0.7730061349693251,0.3655222589683326
69,0.25061686610739015,0.37388724035608306,0.7730061349693251,0.3655222589683326
70,0.25063324677707743,0.375,0.7730061349693251,0.3655222589683326
71,0.250657770069457,0.36645962732919257,0.7239263803680982,0.3655222589683326
72,0.25066189013924334,0.367601246105919,0.7239263803680982,0.3655222589683326
73,0.25073547040170857,0.36875,0.7239263803680982,0.3655222589683326
