,Percentile,Gain
0,0.0,0.0
1,0.0023923444976076554,0.0
2,0.004784688995215311,0.0
3,0.007177033492822967,0.0
4,0.009569377990430622,0.006134969325153374
5,0.011961722488038277,0.006134969325153374
6,0.014354066985645933,0.012269938650306749
7,0.01674641148325359,0.012269938650306749
8,0.019138755980861243,0.018404907975460124
9,0.0215311004784689,0.018404907975460124
10,0.023923444976076555,0.018404907975460124
11,0.02631578947368421,0.024539877300613498
12,0.028708133971291867,0.03067484662576687
13,0.03110047846889952,0.03680981595092025
14,0.03349282296650718,0.03680981595092025
15,0.03588516746411483,0.04294478527607362
16,0.03827751196172249,0.049079754601226995
17,0.04066985645933014,0.049079754601226995
18,0.0430622009569378,0.05521472392638037
19,0.045454545454545456,0.05521472392638037
20,0.04784688995215311,0.05521472392638037
21,0.050239234449760764,0.06134969325153374
22,0.05263157894736842,0.06748466257668712
23,0.05502392344497608,0.06748466257668712
24,0.05741626794258373,0.06748466257668712
25,0.05980861244019139,0.06748466257668712
26,0.06220095693779904,0.06748466257668712
27,0.0645933014354067,0.0736196319018405
28,0.06698564593301436,0.0736196319018405
29,0.06937799043062201,0.0736196319018405
30,0.07177033492822966,0.0736196319018405
31,0.07416267942583732,0.07975460122699386
32,0.07655502392344497,0.07975460122699386
33,0.07894736842105263,0.07975460122699386
34,0.08133971291866028,0.08588957055214724
35,0.08373205741626795,0.09202453987730061
36,0.0861244019138756,0.09202453987730061
37,0.08851674641148326,0.09202453987730061
38,0.09090909090909091,0.09202453987730061
39,0.09330143540669857,0.09202453987730061
40,0.09569377990430622,0.09202453987730061
41,0.09808612440191387,0.09815950920245399
42,0.10047846889952153,0.09815950920245399
43,0.10287081339712918,0.10429447852760736
44,0.10526315789473684,0.10429447852760736
45,0.1076555023923445,0.11042944785276074
46,0.11004784688995216,0.1165644171779141
47,0.11244019138755981,0.1165644171779141
48,0.11483253588516747,0.1165644171779141
49,0.11722488038277512,0.12269938650306748
50,0.11961722488038277,0.12269938650306748
51,0.12200956937799043,0.12269938650306748
52,0.12440191387559808,0.12269938650306748
53,0.12679425837320574,0.12269938650306748
54,0.1291866028708134,0.12269938650306748
55,0.13157894736842105,0.12269938650306748
56,0.1339712918660287,0.12269938650306748
57,0.13636363636363635,0.12269938650306748
58,0.13875598086124402,0.12269938650306748
59,0.14114832535885166,0.12269938650306748
60,0.14354066985645933,0.12269938650306748
61,0.145933014354067,0.12883435582822086
62,0.14832535885167464,0.12883435582822086
63,0.1507177033492823,0.12883435582822086
64,0.15311004784688995,0.13496932515337423
65,0.15550239234449761,0.1411042944785276
66,0.15789473684210525,0.1411042944785276
67,0.16028708133971292,0.147239263803681
68,0.16267942583732056,0.15337423312883436
69,0.16507177033492823,0.15337423312883436
70,0.1674641148325359,0.15337423312883436
71,0.16985645933014354,0.15337423312883436
72,0.1722488038277512,0.15337423312883436
73,0.17464114832535885,0.15337423312883436
74,0.17703349282296652,0.15337423312883436
75,0.17942583732057416,0.15337423312883436
76,0.18181818181818182,0.15337423312883436
77,0.18421052631578946,0.15950920245398773
78,0.18660287081339713,0.15950920245398773
79,0.18899521531100477,0.15950920245398773
80,0.19138755980861244,0.15950920245398773
81,0.1937799043062201,0.15950920245398773
82,0.19617224880382775,0.15950920245398773
83,0.19856459330143542,0.15950920245398773
84,0.20095693779904306,0.15950920245398773
85,0.20334928229665072,0.1656441717791411
86,0.20574162679425836,0.1656441717791411
87,0.20813397129186603,0.17177914110429449
88,0.21052631578947367,0.17177914110429449
89,0.21291866028708134,0.17177914110429449
90,0.215311004784689,0.17791411042944785
91,0.21770334928229665,0.17791411042944785
92,0.22009569377990432,0.18404907975460122
93,0.22248803827751196,0.18404907975460122
94,0.22488038277511962,0.18404907975460122
95,0.22727272727272727,0.18404907975460122
96,0.22966507177033493,0.1901840490797546
97,0.23205741626794257,0.1901840490797546
98,0.23444976076555024,0.1901840490797546
99,0.23684210526315788,0.19631901840490798
100,0.23923444976076555,0.19631901840490798
101,0.24162679425837322,0.19631901840490798
102,0.24401913875598086,0.19631901840490798
103,0.24641148325358853,0.19631901840490798
104,0.24880382775119617,0.19631901840490798
105,0.2511961722488038,0.19631901840490798
106,0.2535885167464115,0.20245398773006135
107,0.25598086124401914,0.2085889570552147
108,0.2583732057416268,0.2147239263803681
109,0.2607655502392344,0.2147239263803681
110,0.2631578947368421,0.2147239263803681
111,0.26555023923444976,0.22085889570552147
112,0.2679425837320574,0.22085889570552147
113,0.2703349282296651,0.22699386503067484
114,0.2727272727272727,0.2331288343558282
115,0.2751196172248804,0.2331288343558282
116,0.27751196172248804,0.2331288343558282
117,0.2799043062200957,0.2331288343558282
118,0.2822966507177033,0.2331288343558282
119,0.284688995215311,0.2392638036809816
120,0.28708133971291866,0.2392638036809816
121,0.2894736842105263,0.2392638036809816
122,0.291866028708134,0.24539877300613497
123,0.2942583732057416,0.25153374233128833
124,0.2966507177033493,0.25766871165644173
125,0.29904306220095694,0.25766871165644173
126,0.3014354066985646,0.26380368098159507
127,0.3038277511961722,0.26380368098159507
128,0.3062200956937799,0.26380368098159507
129,0.30861244019138756,0.26380368098159507
130,0.31100478468899523,0.26993865030674846
131,0.3133971291866029,0.26993865030674846
132,0.3157894736842105,0.27607361963190186
133,0.3181818181818182,0.27607361963190186
134,0.32057416267942584,0.27607361963190186
135,0.3229665071770335,0.2822085889570552
136,0.3253588516746411,0.2822085889570552
137,0.3277511961722488,0.2822085889570552
138,0.33014354066985646,0.2883435582822086
139,0.33253588516746413,0.2883435582822086
